Year,"3,600 kWh/year","5,100 kWh/year"
2010,451,539
2011,478,571
2012,498,600
2013,520,633
2014,525,644
2015,514,635
2016,507,627
2017,529,646
2018,560,678
2019,598,728
2020,574,704
2021,627,764
2022,899,"1,104"
2023,922,"1,152"
